,feature,label
971,G_107_8,0.0
972,G_108_0,0.0
973,G_108_1,0.0
974,G_108_2,0.0
975,G_108_3,1.0
976,G_108_4,0.0
977,G_108_5,0.0
978,G_108_6,0.0
979,G_108_7,0.0
980,G_108_8,0.0
981,G_109_0,-0.0
982,G_109_1,-0.0
983,G_109_2,-0.0
984,G_109_3,-0.0
985,G_109_4,-0.0
986,G_109_5,-0.0
987,G_109_6,-0.0
988,G_109_7,-0.0
989,G_109_8,-0.0
990,G_110_0,-0.0
991,G_110_1,-0.0
992,G_110_2,1.0
993,G_110_3,-0.0
994,G_110_4,0.0
995,G_110_5,-0.0
996,G_110_6,-0.0
997,G_110_7,0.0
998,G_110_8,-0.0
999,G_111_0,0.0
1000,G_111_1,0.0
1001,G_111_2,0.0
1002,G_111_3,-0.0
1003,G_111_4,0.0
1004,G_111_5,-0.0
1005,G_111_6,-0.0
1006,G_111_7,0.0
1007,G_111_8,-0.0
1008,G_112_0,0.0
1009,G_112_1,0.0
1010,G_112_2,0.0
1011,G_112_3,0.0
1012,G_112_4,0.0
1013,G_112_5,1.0
1014,G_112_6,-0.0
1015,G_112_7,0.0
1016,G_112_8,-0.0
1017,G_113_0,0.0
1018,G_113_1,0.0
1019,G_113_2,0.0
1020,G_113_3,0.0
1021,G_113_4,-0.0
1022,G_113_5,-0.0
1023,G_113_6,0.0
1024,G_113_7,0.0
1025,G_113_8,-0.0
1026,G_114_0,-0.0
1027,G_114_1,-0.0
1028,G_114_2,-0.0
1029,G_114_3,-0.0
1030,G_114_4,-0.0
1031,G_114_5,-0.0
1032,G_114_6,-0.0
1033,G_114_7,-0.0
1034,G_114_8,-0.0
1035,G_115_0,-0.0
1036,G_115_1,-0.0
1037,G_115_2,0.0
1038,G_115_3,0.0
1039,G_115_4,-0.0
1040,G_115_5,1.0
1041,G_115_6,-0.0
1042,G_115_7,-0.0
1043,G_115_8,-0.0
1044,G_116_0,0.0
1045,G_116_1,0.0
1046,G_116_2,0.0
1047,G_116_3,0.0
1048,G_116_4,-0.0
1049,G_116_5,0.0
1050,G_116_6,0.0
1051,G_116_7,0.0
1052,G_116_8,0.0
1053,G_117_0,0.0
1054,G_117_1,0.0
1055,G_117_2,0.0
1056,G_117_3,0.0
1057,G_117_4,0.0
1058,G_117_5,1.0
1059,G_117_6,0.0
1060,G_117_7,0.0
1061,G_117_8,0.0
1062,G_118_0,0.0
1063,G_118_1,0.0
1064,G_118_2,1.0
1065,G_118_3,0.0
1066,G_118_4,0.0
1067,G_118_5,0.0
1068,G_118_6,0.0
1069,G_118_7,1.0
1070,G_118_8,0.0
1071,G_119_0,-0.0
1072,G_119_1,-0.0
1073,G_119_2,-0.0
1074,G_119_3,-0.0
1075,G_119_4,-0.0
1076,G_119_5,-0.0
1077,G_119_6,-0.0
1078,G_119_7,1.0
1079,G_119_8,-0.0
1080,G_120_0,-0.0
1081,G_120_1,-0.0
1082,G_120_2,-0.0
1083,G_120_3,-0.0
1084,G_120_4,-0.0
1085,G_120_5,1.0
1086,G_120_6,-0.0
1087,G_120_7,1.0
1088,G_120_8,-0.0
1089,G_121_0,0.0
1090,G_121_1,0.0
1091,G_121_2,0.0
1092,G_121_3,-0.0
1093,G_121_4,-0.0
1094,G_121_5,-0.0
1095,G_121_6,0.0
1096,G_121_7,1.0
1097,G_121_8,0.0
1098,G_122_0,0.0
1099,G_122_1,0.0
1100,G_122_2,0.0
1101,G_122_3,1.0
1102,G_122_4,-0.0
1103,G_122_5,-0.0
1104,G_122_6,0.0
1105,G_122_7,1.0
1106,G_122_8,0.0
1107,G_123_0,0.0
1108,G_123_1,0.0
1109,G_123_2,0.0
1110,G_123_3,1.0
1111,G_123_4,0.0
1112,G_123_5,0.0
1113,G_123_6,0.0
1114,G_123_7,-0.0
1115,G_123_8,-0.0
1116,G_124_0,0.0
1117,G_124_1,0.0
1118,G_124_2,0.0
1119,G_124_3,1.0
1120,G_124_4,0.0
1121,G_124_5,0.0
1122,G_124_6,0.0
1123,G_124_7,1.0
1124,G_124_8,0.0
1125,G_125_0,-0.0
1126,G_125_1,-0.0
1127,G_125_2,0.0
1128,G_125_3,0.0
1129,G_125_4,-0.0
1130,G_125_5,0.0
1131,G_125_6,0.0
