1,2,3,4,5,6,7,8,9,10,11
127,64,105,67,83,98,88,110,51,70,145
113,56,98,65,70,95,50,112,48,60,120
127,64,105,67,83,98,91,130,51,70,145
126,64,105,67,83,95,50,112,51,63,145
127,64,105,67,83,98,91,130,51,70,145
149,75,132,85,97,135,110,157,56,92,144
149,74,135,84,98,135,14,150,56,93,147
127,64,105,67,83,98,71,130,51,70,145
126,64,105,67,83,95,91,112,51,63,145
127,64,105,67,83,98,91,130,51,70,145
126,57,103,62,71,95,71,112,44,68,141
127,64,105,67,83,98,88,130,51,70,145
127,64,105,67,83,98,88,130,51,70,145
104,53,85,54,71,87,61,121,46,57,107
126,64,105,67,74,95,59,112,44,70,144
103,53,86,53,72,85,63,120,45,57,106
152,62,120,71,94,138,104,173,48,85,136
158,63,122,71,92,141,102,172,49,84,131
152,62,120,71,94,138,104,173,48,85,136
158,63,122,71,92,141,102,172,49,84,131
135,60,85,60,67,103,77,153,52,71,128
123,48,89,65,72,101,79,121,45,67,124
111,54,86,65,69,96,71,133,47,63,118
113,56,98,65,70,96,70,133,48,60,120
133,64,91,65,68,104,76,152,53,73,131
135,60,85,60,67,103,77,153,52,71,128
160,57,103,62,71,133,86,138,54,68,141
126,64,105,67,83,95,45,112,51,63,144
159,57,103,61,70,133,54,150,52,68,147
160,57,103,62,71,133,86,138,54,68,141
159,57,103,61,70,133,54,150,52,68,147
160,57,103,62,71,133,86,138,54,68,141
133,64,91,65,68,104,76,152,53,73,131
159,57,103,61,70,133,54,150,52,68,147
137,57,128,91,69,105,82,162,57,76,138
134,54,108,66,68,102,61,140,45,68,136
137,57,128,91,69,105,82,162,57,76,138
134,54,108,66,68,102,61,140,45,68,136
137,57,128,91,69,105,82,162,57,76,138
134,54,108,66,68,102,61,140,45,68,136
137,57,128,91,69,105,82,162,57,76,138
134,54,108,66,68,102,61,140,45,68,136
137,57,128,91,69,105,82,162,57,76,138
134,54,108,66,68,102,78,140,45,68,136
137,57,128,91,69,105,82,162,57,76,138
134,54,108,66,68,102,78,140,45,68,136
219,115,189,126,162,180,163,247,109,144,257
217,115,191,125,163,172,160,246,111,148,252
219,115,189,126,162,180,163,247,109,144,257
217,115,191,125,163,172,160,246,111,148,252
219,115,189,126,162,180,163,247,109,144,257
217,115,191,125,163,172,160,246,111,148,252
127,64,105,67,83,98,91,130,51,70,145
127,64,105,67,83,98,88,130,51,70,145
126,64,105,67,74,95,71,112,44,63,145
126,64,105,67,74,95,50,112,44,70,144
155,73,117,82,92,133,86,181,64,90,167
104,53,85,54,71,87,61,121,46,57,107
127,64,105,67,83,98,91,130,51,70,145
154,72,133,81,95,131,103,181,62,90,168
147,60,112,72,71,126,96,167,55,84,127
154,72,133,81,95,131,103,181,62,90,168
154,72,133,81,95,131,103,181,62,90,168
154,72,133,81,95,131,103,181,62,90,168
127,64,105,67,83,98,91,130,51,70,145
103,53,86,53,72,85,63,120,45,57,106
104,53,85,54,71,87,61,121,46,57,107
103,53,86,53,72,85,63,120,45,57,106
126,64,105,67,74,95,50,112,44,70,145
178,82,134,94,96,167,111,214,70,93,203
224,104,196,119,139,218,155,245,86,122,216
225,104,98,119,139,217,153,100,86,122,172
192,85,135,86,102,157,83,98,71,93,197
126,64,105,67,74,95,50,112,44,70,145
126,64,105,67,83,95,50,112,51,70,145
126,64,105,67,83,95,50,112,51,70,145
127,64,105,67,83,98,91,130,51,70,145
