B,G,H,K,L,M,Q,S,T,V,Y
1.54,21.09,3.79,13.54,21.58,1.32,1.52,0,75.58,16.82,3.55
2,31.64,7.12,8.48,49.19,4.15,31.43,0,48.79,0,10.5
0,7.81,2.61,1.92,19.41,0,27.02,0,68.54,0.9,3.07
5.43,37.75,9.79,8.22,35.96,9.84,19.56,1.52,89.21,3.58,4.73
0.33,21.35,0.96,3.51,12.02,0.67,13.34,0.49,102.73,4.82,2.06
0.33,21.25,2.62,1.63,13.72,0.26,20.23,0,66.52,0.43,3.05
0,23.1,1.61,2.36,14.76,1.2,20.25,0,98.46,0.33,3.99
0.33,18.67,5.82,9.95,17.1,5.75,19.39,0,93.43,5.44,4.42
1.01,20.13,0.66,0.77,23.56,4.16,35.73,0,66.52,0.28,7.04
0.44,12.55,21.25,4.26,11.14,0,9.81,0,66.65,0.02,2.6
1.36,31.97,13.51,3.36,1.72,1.61,6.39,0,92.84,0,4.93
0.33,16.84,16.24,3.58,4.31,0.33,3.51,0,67.59,0.94,2.58
0,12.14,12.27,0.96,0.94,0.33,2.33,0,47.79,1.73,2.64
0.26,29.33,17.58,6.19,4.88,0.34,7.78,0,68.05,1.7,2.53
0,9.5,7.21,3.45,0,0.33,2.63,0,49.06,0.53,0.4
0,8.87,9.04,0.92,0.41,0.6,2.08,0,34.17,1.33,0.94
2.97,45.62,13.86,7.63,4.7,0.54,6.07,0,83.09,4.37,3.47
0.25,38.25,17.99,15.9,16.23,0.36,2.49,0,41.57,3.36,3.81
1.2,43.88,11.98,20.72,11.57,0.33,0.78,0,38.19,3.98,5.14
3.2,45.43,15.07,36.93,16.63,4.16,4.39,0,31.7,13.47,8.15
0.68,47.19,25.49,21.42,30.54,0.81,8.73,0,38.45,5.34,14.33
2.31,19.47,15.31,7.35,4.64,0,1.37,0,27.98,2.2,2.12
1.89,61.51,9.76,23.73,15.93,2.47,2.04,0,53.76,15.72,5.75
0.62,5.83,0,16.32,0.63,13.88,0.3,0.29,48.03,0.94,4.95
1.17,13.16,0,14.64,2.54,12.6,0,0.28,59.46,9.4,5.6
6.86,49.26,23.51,25.69,7.98,7.41,30.1,0,13.91,2.61,13.23
0.34,21.24,16.89,11.24,1.69,1.88,7.26,0,11.84,0,4.96
0.69,24.25,16.35,10.04,1.84,4.25,11.54,0,19.17,1.5,5.18
0,23.44,16.28,15.44,0.86,1.47,7.09,0,15.97,0.9,3.01
0,4.54,3.54,1.99,3.26,0.62,7.82,0,65.83,1,2.05
1.71,68.72,4.34,5.63,3.52,0,11.98,0,96.15,9.33,5.29
0,15.75,2.41,0.33,24.37,0.77,6.68,0.87,111.39,4.64,4.68
3.38,39.23,11.13,25.43,17.41,8.45,9.29,0.63,41.93,25.15,9.94
0.28,26.85,3.01,3.76,0.58,0.59,18.28,0,98.07,5.99,3.51
1.36,53.2,9.62,11.99,8.09,1.16,13.17,0,91.79,6.56,6.04
2.47,101.12,6.04,26.84,7.98,2.21,11.09,0.55,24.71,11.85,5.08
0,50.9,13.63,16.74,8.2,1.37,17.16,0.63,122.76,13.16,7.87
0,35.14,4.22,7.31,3.89,0.28,6.8,0.33,101.19,11.1,1.25
4.09,33.61,7.2,63.22,22.2,2.63,15.06,0.45,23.51,17.27,10.02
0,5.93,0.91,1.78,0,0.79,5.43,0,46.93,0.87,1.83
1.24,50.25,0.9,14.52,2.4,0.61,12.83,0,85.77,13.1,3.22
1.73,64.8,5.03,25.76,11.42,1.44,11.58,1.67,43.79,33.05,6.84
2.14,39.65,9.08,36.88,17.1,1.38,16.08,0,36.44,24.03,5.01
6.79,73.13,10.36,16.04,8.98,8.12,2.7,0.61,75.44,26.79,3.8
0.37,32.62,5.67,2.16,3.24,1.74,13.2,0,90.16,5.23,4.33
0.84,53.6,12.28,25.59,11.5,2.02,13.47,0.31,136.78,30.72,5.9
0.23,30.54,3.88,10.14,10.92,0.61,0.01,0,59.79,14.39,4
0.72,14.3,4.94,1.12,1.89,1.1,18.82,0,93.82,6.57,3.54
3.77,27.27,4.11,4.31,3.91,1.81,17.07,1.45,72.29,6.53,8.04
1.3,53.03,4.27,5.28,5.06,2.42,12.29,1.36,127.98,9.93,11.68
4.34,59.63,2.7,21.88,3.16,8.62,1.53,2.49,82.84,3.39,9.98
0.69,24.97,1.15,3.78,12.86,1.24,0.62,0.01,68.11,16.4,5.39
0.29,85.82,2.62,12.91,7.99,0.95,1.15,0,23.49,17.22,3.08
0.85,34.73,1.48,4.1,12.51,1.91,0.39,0,78.03,15.93,4.49
0,78.3,0.65,19.89,3.46,0.27,1.82,0,26.47,17.59,2.91
0,6.38,0,1.49,2.05,3.64,0,0,45.17,9.99,1.11
1.27,42.94,1.54,7.98,5.29,1.7,1.85,0,91.06,18.67,5.3
0,71.56,1.7,20.37,3.97,1.19,0.31,0,38.97,18.71,2.27
0.23,27.82,1.08,6.36,8.81,0.94,0,0,82.46,9.57,0.66
0.92,70.64,1.35,23.05,4.17,2.38,0.6,0.65,42.72,10.93,2.37
0.39,54.02,5.82,9.77,12.05,1.68,0.82,0,53.55,18.41,3.36
0,29.77,1.9,5.13,9.43,2.25,0.53,0,58.65,10.64,2.59
0.61,67.73,2.51,16.98,12.38,2.43,1.1,0,57.37,31.14,5.01
0.99,15.5,0.71,2.7,3.31,1.18,0,0,48.73,10.65,9.59
4.88,72.54,11.72,17.09,10.3,1.07,2.64,0,25.14,3.17,7.47
11.65,28.95,14.22,12.85,3.4,1.58,1.52,0,72.56,9.97,1.94
7.31,72.81,11.54,25.45,3.2,1.45,0.26,0,47.59,6.71,3.91
8.68,60.94,16.04,30.94,6.33,2.13,1.89,0.04,32.03,12.56,6.82
