B,G,H,K,L,M,Q,S,T,V,Y
3.38,39.23,11.13,25.43,17.41,8.45,9.29,0.63,41.93,25.15,9.94
0.28,26.85,3.01,3.76,0.58,0.59,18.28,0,98.07,5.99,3.51
0.56,35.12,8.28,5.6,6,0.87,12.85,0,67.16,6.21,5.7
2.47,101.12,6.04,26.84,7.98,2.21,11.09,0.55,24.71,11.85,5.08
0,43.23,10.69,13.31,2.81,1.37,17.12,0.63,106.77,12.76,6.92
0,31.15,2.54,6.58,2.6,0.28,6.48,0.33,89.37,9.32,0.94
4.09,30.86,5.38,60.16,18.03,2.63,12.74,0.45,20.52,9.94,6.55
0,3.94,0.59,0.92,0,0.27,5.43,0,33.26,0.87,1.83
1.24,45.76,0.88,6.24,1.56,0.61,12.76,0,85.23,11.27,2.79
1.73,62.24,4.76,25.76,10.18,1.44,11.58,1.67,41.14,32.31,6.84
2.14,36.97,8.73,34.69,6.74,1.38,14.21,0,33.4,14.5,5.01
6.79,72.79,10.34,11.18,8.91,8.12,2.63,0.61,75.07,26.72,3.8
0,20.72,3.65,1.84,2.27,0.93,12.54,0,67.3,4.47,4
0.84,44.38,9.39,16.98,8.92,1.38,12.97,0.31,136.32,21.01,5.57
0.23,26.94,1.42,7.17,10.16,0.61,0,0,54.28,14.04,2.63
0.72,10.15,4.54,0.77,1.89,0.76,18.82,0,79.05,3.91,2.89
2.44,17.82,2.16,3.26,1.59,0.57,16.48,1.45,57.58,6.21,6.43
1.3,53.03,4.27,5.28,5.06,2.42,12.29,1.36,127.98,9.93,11.68
4.34,53.62,2.42,8.09,1.46,8.62,1.52,2.49,81.77,1.45,8.97
0.33,19.67,0.23,3.16,9.93,0.65,0,0,57.06,15.41,4.78
0.29,85.82,2.62,12.91,7.99,0.95,1.15,0,23.49,17.22,3.08
0.51,27.2,0.79,2.49,6.77,1.91,0,0,48.15,14.33,4.16
0,78.3,0.65,19.89,3.46,0.27,1.82,0,26.47,17.59,2.91
0,6.38,0,1.49,2.05,3.64,0,0,38.47,9.7,0.83
1.27,42.88,1.52,7.96,5.27,1.7,0.71,0,91,18.65,5.3
0,71.56,1.7,20.37,3.97,1.19,0.31,0,38.97,18.71,2.27
0.23,23.34,0,5.65,8.81,0.94,0,0,75.66,8.33,0.66
0.92,70.64,1.35,23.05,4.17,2.38,0.6,0.65,42.72,10.93,2.37
0.39,54.02,5.82,9.77,12.05,1.68,0.82,0,53.55,18.41,3.36
0,25.58,0.59,2.22,8.14,1.79,0,0,50.09,9.21,1.62
0.61,67.73,2.51,16.98,12.38,2.43,1.1,0,57.37,31.14,5.01
0,12.7,0.32,2.7,2.73,0.81,0,0,33.56,7.97,5.46
4.88,72.54,11.72,17.09,10.3,1.07,2.64,0,25.14,3.17,7.47
11.65,27.37,13.64,12.43,3.4,0,1.52,0,71.48,7.84,1.61
7.31,72.81,11.54,25.45,3.2,1.45,0.26,0,47.59,6.71,3.91
8.33,47.83,12.19,25.45,2.91,1.08,1.13,0,30.75,10.58,6.82
6.09,38.53,3.46,5.06,0,0.31,0.31,0,149.3,2.19,1.52
9.35,86.12,5.43,30.58,3.38,0.56,1.4,0,4.78,7.82,4.62
7.52,18.6,9.32,31.41,5.39,0,0.32,0,59.32,7.9,1.55
9.03,57.29,5.87,22.29,2.96,1.28,0.28,0,94.37,3.23,4.47
7.58,31.02,6.66,9.57,2.52,0,1.38,0,96.51,3.78,2.13
7.23,29.88,7.07,4.94,0.31,0.37,0.31,0,78.93,1.03,3.68
15.93,38.85,15.39,18.73,2.11,1.71,0.92,0,48.82,3.8,2.42
8.72,7.24,4.91,2.64,0,0,0,0,76.56,0.3,0.79
7.97,55.19,14.36,12.89,3.9,0,3.52,0,33.98,3,7.23
4.61,4.26,3.65,1.07,0,0,0.42,0,57.36,0.93,4.27
0.31,31.32,2.16,8.59,0,0.27,15.33,0,35.29,1.16,3.68
2.21,36.06,1.12,8.77,2.58,1.32,17.84,1.46,104.29,6.43,8.6
0.27,28.91,4.25,2.74,1.34,7.94,34.41,0,103.42,3.01,3.93
0,17.23,1.26,3.77,0,0.93,14.62,0,74.34,0.28,1.93
3.51,43.61,2.64,11.54,0.93,5.34,24.4,0.25,73.74,4.15,6.53
0.74,50.15,3.62,16.52,1.87,2.78,19.5,0,34.13,8.59,2.12
5.19,13.54,0.06,1.12,2.13,12.31,5.46,0,114.41,0.06,2.19
